time,n_unem,n_oil,n_pm25,growth,total
2017-10-01,3.76,26.035,16.6826087,7.282517185,6696467069
2017-12-01,3.685,27.525,18.83695652,5.854147112,8110570234
2017-02-01,3.815,26.37,24.65217391,5.272712151,5918184541
2017-04-01,3.725,25.585,25.40652174,3.571833765,6406881211
2017-06-01,3.7,24.78,13.27826087,3.197447276,6501882205
2017-08-01,3.865,24.75,11.89347826,4.328811975,6665354405
2018-10-01,3.755,31,15.58043478,5.576360821,7069886235
2018-12-01,3.68,28.54,17.93695652,1.928932264,8267017640
2018-02-01,3.665,28.165,22.96086957,7.926977619,6387317705
2018-04-01,3.65,28.18,24.38913043,5.210075558,6740684563
2018-06-01,3.665,30.075,13.8326087,8.939817574,7083138613
2018-08-01,3.84,30.145,11.32608696,7.759681565,7182564682
2019-10-01,3.785,28.005,17.47608696,0.007461662,7070413766
2019-12-01,3.7,28.34,16.5673913,3.110264066,8524143719
2019-02-01,3.68,27.41,21.47826087,1.758359646,6499629722
2019-04-01,3.675,28.815,20.44130435,1.352348328,6831842098
2019-06-01,3.7,29.56,11.97391304,-1.53255397,6974585691
2019-08-01,3.855,28.425,10.83695652,0.056575488,7186628253
2020-10-01,3.815,23.56,13.02173913,4.864058517,7414322829
2020-12-01,3.703333333,23.94666667,13.76376812,7.928640791,9204376683
2020-02-01,3.67,27.895,22.00217391,0.213283365,6513492351
2020-04-01,3.875,20.675,19.05652174,-1.09848095,6756795614
2020-06-01,4.015,21.05,8.913043478,-5.350795094,6601389902
2020-08-01,3.995,23.71,8.413043478,0.711793642,7237782216
2021-10-01,3.895,30.025,11.26956522,15.46056435,8560618981
2021-12-01,3.65,30.1,15.20217391,15.36676982,10613734119
2021-02-01,3.68,26.325,21.64130435,10.71646609,7211508550
2021-04-01,3.655,27.825,20.36521739,18.88053475,8032514758
2021-06-01,4.455,28.495,9.852173913,22.32021603,8074834389
2021-08-01,4.385,29.6,8.484782609,15.30162919,8345280812
